LLM,P(True),P(IK),SAPLMA-F,CCPS (Ours)
"Contextual (n=1,458)",,,,
Qwen-0.5B,FAILS,FAILS,FAILS,FAILS
Llama-1B,FAILS,FAILS,FAILS,FAILS
Qwen-1.5B,FAILS,0.28 / 41.5% / 0.957,FAILS,0.72 / 38.3% / 0.953
Llama-3B,FAILS,0.88 / 42.3% / 0.951,FAILS,0.70 / 66.0% / 0.950
Qwen-3B,0.93 / 1.4% / 0.952,0.35 / 81.2% / 0.952,FAILS,0.62 / 77.8% / 0.956
Mean (SD),1.4% (0.0%),55.0% (18.5%),0.0% (0.0%),60.7% (16.5%)
Synthesis (n=764),,,,
Qwen-0.5B,FAILS,FAILS,FAILS,FAILS
Llama-1B,FAILS,FAILS,FAILS,FAILS
Qwen-1.5B,FAILS,0.75 / 8.0% / 0.951,FAILS,0.75 / 14.8% / 0.956
Llama-3B,FAILS,0.95 / 14.7% / 0.955,FAILS,0.77 / 18.2% / 0.971
Qwen-3B,FAILS,0.49 / 40.4% / 0.951,FAILS,0.67 / 39.5% / 0.950
Mean (SD),0.0% (0.0%),21.0% (14.0%),0.0% (0.0%),24.2% (10.9%)
Clinical Inference (n=612),,,,
Qwen-0.5B,FAILS,0.88 / 4.4% / 1.000,FAILS,0.55 / 4.6% / 1.000
Llama-1B,FAILS,FAILS,FAILS,FAILS
Qwen-1.5B,FAILS,0.09 / 68.8% / 0.952,FAILS,0.67 / 64.7% / 0.952
Llama-3B,FAILS,0.93 / 41.2% / 0.956,FAILS,0.69 / 74.0% / 0.960
Qwen-3B,FAILS,0.33 / 93.6% / 0.951,0.62 / 74.5% / 0.952,0.59 / 93.0% / 0.954
Mean (SD),0.0% (0.0%),52.0% (33.2%),74.5% (0.0%),59.1% (33.1%)
Merged (All Tiers),,,,
Mean (SD),1.4% (0.0%),43.6% (28.7%),74.5% (0.0%),49.1% (28.7%)
