Dataset,Target AUROC,P(True),P(IK),SAPLMA-F,CCPS (Ours)
Contextual,≥ 0.65,99 ± 2,37 ± 45,76 ± 39,20 ± 40
,≥ 0.7,100 ± 1,39 ± 48,100 ± 0,20 ± 40
,≥ 0.75,100 ± 0,55 ± 46,100 ± 0,40 ± 49
,≥ 0.8,100 ± 0,79 ± 39,100 ± 0,59 ± 48
,≥ 0.85,100 ± 0,79 ± 40,100 ± 0,76 ± 39
Synthesis,≥ 0.65,99 ± 1,36 ± 45,79 ± 40,35 ± 44
,≥ 0.7,100 ± 0,40 ± 49,100 ± 0,37 ± 46
,≥ 0.75,100 ± 0,74 ± 38,100 ± 0,40 ± 49
,≥ 0.8,100 ± 0,76 ± 38,100 ± 0,76 ± 32
,≥ 0.85,100 ± 0,79 ± 35,100 ± 0,93 ± 7
Inference,≥ 0.65,92 ± 12,19 ± 39,69 ± 37,20 ± 40
,≥ 0.7,99 ± 1,39 ± 37,77 ± 38,20 ± 40
,≥ 0.75,99 ± 1,47 ± 42,88 ± 22,20 ± 40
,≥ 0.8,100 ± 0,50 ± 43,98 ± 4,39 ± 47
,≥ 0.85,100 ± 0,62 ± 35,98 ± 4,63 ± 36
Merged,≥ 0.65,97 ± 8,31 ± 44,75 ± 39,25 ± 42
,≥ 0.7,100 ± 1,39 ± 45,92 ± 24,26 ± 43
,≥ 0.75,100 ± 1,58 ± 44,96 ± 14,33 ± 47
,≥ 0.8,100 ± 0,68 ± 42,99 ± 2,58 ± 46
,≥ 0.85,100 ± 0,74 ± 37,99 ± 2,77 ± 33
