Dataset,Target AUROC,P(True),P(IK),SAPLMA-F,CCPS (Ours)
Contextual,≥ 0.65,100 [99-100],0 [0-84],99 [80-100],0 [0-0]
,≥ 0.7,100 [100-100],0 [0-97],100 [100-100],0 [0-0]
,≥ 0.75,100 [100-100],77 [0-98],100 [100-100],0 [0-99]
,≥ 0.8,100 [100-100],97 [96-100],100 [100-100],94 [0-99]
,≥ 0.85,100 [100-100],100 [97-100],100 [100-100],99 [82-100]
Synthesis,≥ 0.65,100 [100-100],0 [0-82],100 [97-100],0 [0-75]
,≥ 0.7,100 [100-100],0 [0-99],100 [100-100],0 [0-87]
,≥ 0.75,100 [100-100],96 [74-99],100 [100-100],0 [0-100]
,≥ 0.8,100 [100-100],96 [83-99],100 [100-100],90 [77-100]
,≥ 0.85,100 [100-100],96 [92-99],100 [100-100],94 [85-100]
Inference,≥ 0.65,97 [96-99],0 [0-0],86 [60-98],0 [0-0]
,≥ 0.7,100 [99-100],34 [0-62],98 [87-100],0 [0-0]
,≥ 0.75,100 [99-100],46 [0-88],98 [98-100],0 [0-0]
,≥ 0.8,100 [100-100],61 [0-90],100 [100-100],0 [0-93]
,≥ 0.85,100 [100-100],63 [57-90],100 [100-100],66 [52-95]
Merged,≥ 0.65,100 [97-100],0 [0-83],98 [70-100],0 [0-38]
,≥ 0.7,100 [100-100],0 [0-97],100 [99-100],0 [0-44]
,≥ 0.75,100 [100-100],77 [0-98],100 [100-100],0 [0-100]
,≥ 0.8,100 [100-100],96 [30-99],100 [100-100],90 [0-100]
,≥ 0.85,100 [100-100],96 [60-100],100 [100-100],94 [74-100]
