Dataset,Total N,Method,% Auto,Count Auto,AUROC,Error %,Small,Medium,Large
Contextual,"1,458",P(True),0.3,4 (3 - 1),0.532,25.0,$227,$770,$15.4K
Contextual,"1,458",P(IK),33.0,481 (458 - 23),0.704,4.8,$26.1K,$88.2K,$1.76M
Contextual,"1,458",SAPLMA-F,0.0,0 (0 - 0),0.612,0.0,$0,$0,$0
Contextual,"1,458",CCPS (Ours),36.4*,531 (506 - 25),0.752*,4.7*,$28.8K*,$97.4K*,$1.95M*
Synthesis,764,P(True),0.0,0 (0 - 0),0.479,0.0,$0,$0,$0
Synthesis,764,P(IK),12.6,96 (91 - 5),0.664,5.2,$10.0K,$33.7K,$674.3K
Synthesis,764,SAPLMA-F,0.0,0 (0 - 0),0.578,0.0,$0,$0,$0
Synthesis,764,CCPS (Ours),14.5*,110 (105 - 5),0.700*,4.5*,$11.4K*,$38.8K*,$775.0K*
Inference,612,P(True),0.0,0 (0 - 0),0.524,0.0,$0,$0,$0
Inference,612,P(IK),41.6,254 (245 - 9),0.721,3.5,$32.8K,$111.2K,$2.22M
Inference,612,SAPLMA-F,14.9,91 (86 - 5),0.596,5.5,$11.8K,$39.8K,$796.4K
Inference,612,CCPS (Ours),47.3*,289 (279 - 10),0.791*,3.5*,$37.3K*,$126.3K*,$2.53M*
Merged,"2,834",P(True),0.1,2 (1 - 1),0.512,50.0,$76,$257,$5.1K
Merged,"2,834",P(IK),29.1,823 (788 - 35),0.697,4.3,$23.0K,$77.7K,$1.55M
Merged,"2,834",SAPLMA-F,5.0,140 (133 - 7),0.595,5.0,$3.9K,$13.3K,$265.5K
Merged,"2,834",CCPS (Ours),32.7*,927 (890 - 37),0.748*,4.0*,$25.8K*,$87.5K*,$1.75M*
