Dataset,Method,Total_N,Pct_Automated,Count_Automated,Correct_Count,Error_Count,AUROC,Error_Pct,Savings_Small_Site,Savings_Medium_Site,Savings_Large_Site
Contextual,P(True),1458,0.2880658436213992,4,3,1,0.5322199087736954,25.0,227.38957475994513,769.7119341563786,15394.23868312757
Contextual,P(IK),1458,33.00411522633745,481,458,23,0.7041390116730039,4.781704781704782,26052.34842249657,88186.99588477364,1763739.917695473
Contextual,SAPLMA-F,1458,0.0,0,0,0,0.6119062077294293,0.0,0.0,0.0,0.0
Contextual,CCPS (Ours),1458,36.433470507544584,531,506,25,0.7519590702486191,4.708097928436912,28759.367169638776,97350.23319615911,1947004.6639231825
Synthesis,P(True),764,0.0,0,0,0,0.4793890964842772,0.0,0.0,0.0,0.0
Synthesis,P(IK),764,12.61780104712042,96,91,5,0.6642920601607415,5.208333333333334,9960.071553228621,33714.76439790576,674295.2879581151
Synthesis,SAPLMA-F,764,0.0,0,0,0,0.5784929580347402,0.0,0.0,0.0,0.0
Synthesis,CCPS (Ours),764,14.50261780104712,110,105,5,0.6995413529700021,4.545454545454546,11447.883071553226,38750.994764397896,775019.895287958
Inference,P(True),612,0.0,0,0,0,0.5236160479134764,0.0,0.0,0.0,0.0
Inference,P(IK),612,41.60130718954248,254,245,9,0.7213382917300566,3.543307086614173,32838.685185185175,111158.69281045749,2223173.85620915
Inference,SAPLMA-F,612,14.901960784313726,91,86,5,0.5958472703262255,5.4945054945054945,11763.111111111111,39818.03921568627,796360.7843137254
Inference,CCPS (Ours),612,47.25490196078431,289,279,10,0.7912990296765091,3.4602076124567476,37301.44444444444,126265.09803921565,2525301.9607843133
Merged,P(True),2834,0.09602194787379974,2,1,1,0.5117416843904831,50.0,75.79652491998172,256.57064471879283,5131.412894375858
Merged,P(IK),2834,29.07440782100012,823,788,35,0.6965897878546007,4.25273390036452,22950.368386970127,77686.81769771231,1553736.353954246
Merged,SAPLMA-F,2834,4.967320261437909,140,133,7,0.5954154786967983,5.0,3921.0370370370374,13272.67973856209,265453.5947712418
Merged,CCPS (Ours),2834,32.730330089792005,927,890,37,0.7475998176317101,3.9913700107874863,25836.231561878816,87455.44199992422,1749108.8399984846
