Dataset,N,LLM,Method,Meets_5pct,Tau,Yield_pct,Accuracy,AUROC
Contextual,1458,Qwen-1.5B,CCPS (Ours),True,0.72,38.3,0.953,0.755
Contextual,1458,Qwen-1.5B,P(IK),True,0.28,41.5,0.957,0.78
Contextual,1458,Qwen-1.5B,P(True),False,-,0.0,-,0.539
Contextual,1458,Qwen-1.5B,SAPLMA-F,False,-,0.0,-,0.599
Contextual,1458,Llama-3B,CCPS (Ours),True,0.7,66.0,0.95,0.806
Contextual,1458,Llama-3B,P(IK),True,0.88,42.3,0.951,0.702
Contextual,1458,Llama-3B,P(True),False,-,0.0,-,0.601
Contextual,1458,Llama-3B,SAPLMA-F,False,-,0.0,-,0.625
Contextual,1458,Qwen-3B,CCPS (Ours),True,0.62,77.8,0.956,0.852
Contextual,1458,Qwen-3B,P(IK),True,0.35,81.2,0.952,0.872
Contextual,1458,Qwen-3B,P(True),True,0.93,1.4,0.952,0.461
Contextual,1458,Qwen-3B,SAPLMA-F,False,-,0.0,-,0.666
Synthesis,764,Qwen-1.5B,CCPS (Ours),True,0.75,14.8,0.956,0.787
Synthesis,764,Qwen-1.5B,P(IK),True,0.75,8.0,0.951,0.736
Synthesis,764,Qwen-1.5B,P(True),False,-,0.0,-,0.464
Synthesis,764,Qwen-1.5B,SAPLMA-F,False,-,0.0,-,0.637
Synthesis,764,Llama-3B,CCPS (Ours),True,0.77,18.2,0.971,0.789
Synthesis,764,Llama-3B,P(IK),True,0.95,14.7,0.955,0.703
Synthesis,764,Llama-3B,P(True),False,-,0.0,-,0.551
Synthesis,764,Llama-3B,SAPLMA-F,False,-,0.0,-,0.526
Synthesis,764,Qwen-3B,CCPS (Ours),True,0.67,39.5,0.95,0.791
Synthesis,764,Qwen-3B,P(IK),True,0.49,40.4,0.951,0.839
Synthesis,764,Qwen-3B,P(True),False,-,0.0,-,0.354
Synthesis,764,Qwen-3B,SAPLMA-F,False,-,0.0,-,0.669
Clinical Inference,612,Qwen-1.5B,CCPS (Ours),True,0.67,64.7,0.952,0.821
Clinical Inference,612,Qwen-1.5B,P(IK),True,0.09,68.8,0.952,0.827
Clinical Inference,612,Qwen-1.5B,P(True),False,-,0.0,-,0.523
Clinical Inference,612,Qwen-1.5B,SAPLMA-F,False,-,0.0,-,0.465
Clinical Inference,612,Llama-3B,CCPS (Ours),True,0.69,74.0,0.96,0.826
Clinical Inference,612,Llama-3B,P(IK),True,0.93,41.2,0.956,0.679
Clinical Inference,612,Llama-3B,P(True),False,-,0.0,-,0.569
Clinical Inference,612,Llama-3B,SAPLMA-F,False,-,0.0,-,0.686
Clinical Inference,612,Qwen-3B,CCPS (Ours),True,0.59,93.0,0.954,0.899
Clinical Inference,612,Qwen-3B,P(IK),True,0.33,93.6,0.951,0.886
Clinical Inference,612,Qwen-3B,P(True),False,-,0.0,-,0.482
Clinical Inference,612,Qwen-3B,SAPLMA-F,True,0.62,74.5,0.952,0.641
