Dataset,Metric,P(True),SAPLMA-F,P(IK),CCPS (Ours)
Contextual,ECE,"0.428 [0.418, 0.436]","0.160 [0.151, 0.172]","0.277 [0.270, 0.287]","0.123 [0.118, 0.133]"
Contextual,BRIER,"0.417 [0.410, 0.423]","0.222 [0.217, 0.228]","0.270 [0.264, 0.276]","0.174 [0.171, 0.177]"
Contextual,AUCPR,"0.704 [0.690, 0.719]","0.743 [0.730, 0.756]","0.780 [0.769, 0.790]","0.815 [0.806, 0.828]"
Contextual,AUROC,"0.532 [0.514, 0.548]","0.612 [0.596, 0.630]","0.704 [0.693, 0.712]","0.752 [0.741, 0.763]"
Synthesis,ECE,"0.360 [0.348, 0.374]","0.177 [0.165, 0.199]","0.295 [0.283, 0.311]","0.104 [0.094, 0.122]"
Synthesis,BRIER,"0.385 [0.375, 0.396]","0.266 [0.260, 0.276]","0.318 [0.310, 0.327]","0.212 [0.208, 0.216]"
Synthesis,AUCPR,"0.523 [0.504, 0.547]","0.584 [0.564, 0.606]","0.667 [0.652, 0.685]","0.695 [0.678, 0.714]"
Synthesis,AUROC,"0.479 [0.459, 0.494]","0.578 [0.556, 0.594]","0.664 [0.651, 0.677]","0.700 [0.682, 0.715]"
Clinical Inference,ECE,"0.488 [0.480, 0.504]","0.156 [0.148, 0.173]","0.278 [0.266, 0.293]","0.186 [0.176, 0.200]"
Clinical Inference,BRIER,"0.449 [0.442, 0.459]","0.195 [0.188, 0.202]","0.257 [0.248, 0.268]","0.170 [0.165, 0.173]"
Clinical Inference,AUCPR,"0.747 [0.731, 0.767]","0.791 [0.769, 0.814]","0.824 [0.808, 0.839]","0.863 [0.847, 0.878]"
Clinical Inference,AUROC,"0.524 [0.496, 0.551]","0.596 [0.569, 0.615]","0.721 [0.703, 0.737]","0.791 [0.771, 0.814]"
All Datasets,ECE,"0.425 [0.415, 0.438]","0.164 [0.155, 0.181]","0.283 [0.273, 0.297]","0.138 [0.129, 0.152]"
All Datasets,BRIER,"0.417 [0.409, 0.426]","0.228 [0.222, 0.235]","0.282 [0.274, 0.290]","0.185 [0.181, 0.189]"
All Datasets,AUCPR,"0.658 [0.642, 0.677]","0.706 [0.688, 0.725]","0.757 [0.743, 0.771]","0.791 [0.777, 0.806]"
All Datasets,AUROC,"0.512 [0.490, 0.531]","0.595 [0.574, 0.613]","0.697 [0.682, 0.709]","0.748 [0.731, 0.764]"
